集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度,
CT_zj_580b0600168,800206074,普陀沈家门北安路新云宾馆室外, 宾馆酒店,新云宾馆,浙江,舟山市,普陀县,普陀分公司,122.29725,29.95008,工程局,183.152.192.2-183.152.207.254,光纤,A,工程局FZ,乐谋勋,15305808705,0,否,,,602,1022,3026,ZS-DH-NZ-1.domain,以太网,新云宾馆为中心的南北150米距离、宾馆大部分房间,1,2009-12-31,,CT_zj_5800620046,网件AC22（虚）,,正常热点,普陀沈家门北安路新云宾馆室外,,,
CT_zj_580b9901681,800299282,普陀沈家门墩头东海西路60号后山电信杆, 其他,普陀沈家门墩头东海西路60号后山杆子,浙江,舟山市,普陀县,普陀分公司,122.27,29.94784,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,乐谋勋,15305808705,0,否,,,735,1022,3033,ZS-DH-NZ-1.domain,以太网,东海西路60号周边街道店面等,1,2010-12-15,,CT_zj_5809920061,网件AC22（虚）,,正常热点,普陀沈家门墩头东海西路60号后山电信杆,,,
CT_zj_580d1200279,800312037,岱山秀山乡政府, 政府机关等事业单位,岱山秀山乡政府,浙江,舟山市,岱山县,岱山分公司,122.166673,30.185765,金州,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,魏幸淑,15305807947,0,否,,,1019,1023,3024,ZS-DH-NZ-1.domain,以太网,乡政府大楼及院子,2,2010-01-07,,CT_zj_5801230007,网件AC6（虚）,,正常热点,岱山秀山乡政府,,,
CT_zj_580b9900463,800211093,普陀六横蛟头欣诚网络科技有限公司, 其他,普陀欣诚网络科技有限公司,浙江,舟山市,普陀县,普陀分公司,122.11742,29.74564,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,乐谋勋,15305808705,0,是,,,521,1022,3024,ZS-DH-NZ-1.domain,以太网,欣诚网络店内大厅,1,2010-05-11,,CT_zj_5809920014,网件AC22（虚）,,正常热点,普陀六横蛟头欣诚网络科技有限公司,,,
CT_zj_580b9900567,800216107,普陀沈家门滨海影城门口公话亭, 其他,普陀沈家门新街电话亭2（滨海影城门口）,浙江,舟山市,普陀县,普陀分公司,122.298328,29.948883,工程局,183.152.192.2-183.152.207.254,光纤,B,京信,乐谋勋,15305808705,0,否,,,615,1022,3026,ZS-DH-NZ-1.domain,以太网,新街街道,1,2010-05-11,,CT_zj_5809920030,网件AC22（虚）,,正常热点,普陀沈家门滨海影城门口公话亭,,,
CT_zj_580b9900733,800216167,普陀桃花桃源路P09电信杆, 其他,普陀桃花桃源路P09#水泥杆,浙江,舟山市,普陀县,普陀分公司,122.27665,29.83638,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局SY,乐谋勋,15305808705,0,否,,,669,1022,3025,ZS-DH-NZ-1.domain,以太网,道路及周边商店,1,2010-07-24,,CT_zj_5801620023,网件AC22（虚）,,正常热点,普陀桃花桃源路P09电信杆,,,
CT_zj_580b0600681,800206141,普陀普陀山百步阁PHS网件, 宾馆酒店,普陀山百步阁宾馆,浙江,舟山市,普陀县,普陀分公司,122.38622,29.98221,工程局,183.152.192.2-183.152.207.254,光纤,D,依网,乐谋勋,15305808705,0,是,,,561,1022,3029,ZS-DH-NZ-1.domain,以太网,1~2F,2,2010-06-18,,CT_zj_5800620007,网件AC22（虚）,,正常热点,普陀普陀山百步阁PHS网件,,,
CT_zj_580b9900688,800299148,普陀六横台门电信营业厅PHS, 其他,普陀六横台门电信营业厅楼顶小灵通基站,浙江,舟山市,普陀县,普陀分公司,122.19337,29.70002,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,营业厅,6071233,0,否,,,529,1022,3026,ZS-DH-NZ-1.domain,以太网,台门营业厅外附近街道,1,2010-06-30,,CT_zj_5809920028,网件AC22（虚）,,正常热点,普陀六横台门电信营业厅PHS,,,
CT_zj_580b0700606,800299121,普陀普陀山宝陀饭店PHS, 休闲度假区,普陀普陀山宝陀饭店楼顶,浙江,舟山市,普陀县,普陀分公司,122.37736,29.9842,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局SY,乐谋勋,15305808705,0,否,,,636,1002,3029,ZS-DH-NZ-1.domain,以太网,附近道路及饭店,2,2010-05-14,,CT_zj_5800720006,贝尔ac47（虚）,,正常热点,普陀普陀山宝陀饭店PHS,,,
CT_zj_580a1400961,800114110,定海临城富丽岛建材城主楼, 聚类市场,定海临城富丽岛建材城主楼,浙江,舟山市,定海县,定海分公司,122.22686,29.98775,金州,183.152.192.2-183.152.207.254,光纤,C,国人,张师傅,13105808233,0,是,,,2,1021,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,13,2010-08-31,PN：369,CT_zj_5801410002,网件AC6（虚）,定海临城富丽岛建材城,正常热点,定海临城富丽岛建材城主楼,,,
CT_zj_580b1200573,800212113,普陀展茅镇政府, 政府机关等事业单位,普陀展茅镇政府二楼会议室,浙江,舟山市,普陀县,普陀分公司,122.28165,30.03004,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,乐谋勋,15305808705,0,否,,,515,1022,3034,ZS-DH-NZ-1.domain,以太网,展矛镇政府二楼会议室,2,2010-05-11,,CT_zj_5801220004,网件AC22（虚）,,正常热点,普陀展茅镇政府,,,
CT_zj_580d1301235,800313050,岱山高亭中医院输液室, 医院,岱山高亭中医院输液室,浙江,舟山市,岱山县,岱山分公司,122.19744,30.24844,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1040,1023,3028,ZS-DH-NZ-1.domain,以太网,输液室,1,2010-11-09,,CT_zj_5801330002,网件AC6（虚）,,正常热点,岱山高亭中医院输液室,,,
CT_zj_580a1601326,800116174,定海金塘沥港电信营业厅, 电信自有,定海沥港电信营业厅,浙江,舟山市,定海县,定海分公司,121.85037,30.06211,金州,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,营业厅,8050108,0,否,,,77,1021,3000,ZS-DH-NZ-1.domain,以太网,营业大厅,1,2010-11-25,,CT_zj_5801610006,网件AC6（虚）,,正常热点,定海金塘沥港电信营业厅,,,
CT_zj_580b9901084,800206197,普陀沈家门锦绣海城宾馆PHS, 其他,普陀沈家门锦绣海城宾馆顶小灵通基站,浙江,舟山市,普陀县,普陀分公司,122.27922,29.9466,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,乐谋勋,15305808705,0,否,,,641,1022,3029,ZS-DH-NZ-1.domain,以太网,鱼市大街靠近基站附近街道,1,2010-10-25,,CT_zj_5809920021,网件AC22（虚）,,正常热点,普陀沈家门锦绣海城宾馆PHS,,,
CT_zj_580a1201122,800112129,定海区政府行政楼, 政府机关等事业单位,定海区政府行政楼,浙江,舟山市,定海县,定海分公司,122.10228,30.02302,金州,183.152.192.2-183.152.207.254,光纤,C,国人,顾磊,15305809609,0,否,,,83,1021,3026,ZS-DH-NZ-1.domain,以太网,全覆盖,5,2010-10-25,,CT_zj_5801210011,网件AC6（虚）,定海区政府,正常热点,定海区政府行政楼,,,
CT_zj_580a9901914,800199291,定海人民南路323号公话亭, 其他,定海人民南路323号前电话亭,浙江,舟山市,定海县,定海分公司,122.10271,30.01089,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,48,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011-03-13,,CT_zj_5809910041,华三AC定海76(主),,正常热点,定海人民南路323号公话亭,,,
CT_zj_580b9902142,800299367,普陀沈家门西大街明达律师事务所后PHS, 其他,普陀明达律师事务所后小灵通基站,浙江,舟山市,普陀县,普陀分公司,122.29569,29.94587,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,乐谋勋,15305808705,0,是,,,4,1002,3034,ZS-DH-NZ-1.domain,以太网,西大街、菜市路部分店铺街道,1,2011-05-05,,CT_zj_5809920079,贝尔AC41（虚）,,正常热点,普陀沈家门西大街明达律师事务所后PHS,,,
CT_zj_580a0601904,800106282,定海临城财富君廷大酒店附楼, 宾馆酒店,定海临城财富君廷大酒店附楼,浙江,舟山市,定海县,定海分公司,122.20315,29.99231,金州,183.152.192.2-183.152.207.254,光纤,C,国人,机房管理员,13967232982,0,是,,,101,1021,3031,ZS-DH-NZ-1.domain,以太网,全覆盖,7,2011-03-13,,CT_zj_5800610037,网件AC6（虚）,定海临城财富君廷大酒店,正常热点,定海临城财富君廷大酒店附楼,,,
CT_zj_580c1201220,800412056,嵊泗菜园商业局宿舍PHS, 政府机关等事业单位,嵊泗菜园东侧角商业局宿舍,浙江,舟山市,嵊泗县,嵊泗分公司,122.45779,30.72649,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,阮卫其,13395801152,0,否,,,2008,1004,3027,ZS-DH-NZ-1.domain,以太网,商业局宿舍,1,2010-11-09,,CT_zj_5801240003,贝尔AC41（虚）,,正常热点,嵊泗菜园商业局宿舍PHS,,,
CT_zj_580d9901705,800312061,岱山衢山人民路邮政局室外, 其他,岱山衢山人民路邮政局门口,浙江,舟山市,岱山县,岱山分公司,122.28883,30.45226,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1063,1023,3024,ZS-DH-NZ-1.domain,以太网,人民路附近街道、店面,1,2010-12-20,,CT_zj_5809930015,网件AC6（虚）,,正常热点,岱山衢山人民路邮政局室外,,,
CT_zj_580b0501724,800205313,普陀朱家尖佛学院醍醐院, 学校,普陀朱家尖乌石塘路,浙江,舟山市,普陀县,普陀分公司,122.392023,29.931608,工程局,183.152.192.2-183.152.207.254,光纤,C,浙贝,乐谋勋,15305808705,0,否,,,794,1022,3027,ZS-DH-NZ-1.domain,以太网,佛学院-醍醐院,1,2010-12-20,,CT_zj_5800520036,网件AC22（虚）,普陀朱家尖佛学院,正常热点,普陀朱家尖佛学院醍醐院,,,
CT_zj_580d9901991,800399081,岱山高亭广场邮电宿舍顶, 其他,舟山市岱山县长河路,浙江,舟山市,岱山县,岱山分公司,122.20244,30.2497,金州,183.152.192.2-183.152.207.254,光纤,B,工程局SY,魏幸淑,15305807947,0,否,,,1072,1023,3024,ZS-DH-NZ-1.domain,以太网,医院、宿舍,1,2011-03-30,,CT_zj_5809930023,网件AC6（虚）,,正常热点,岱山高亭广场邮电宿舍顶,,,
