#集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度
CT_zj_5809901913,800199290,定海人民南路303号公话亭, 其他,定海人民南路303号前电话亭,浙江,舟山市,定海县,定海分公司,122.10298,30.01134,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,47,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910040,华三AC定海76(主),,正常热点,定海人民南路303号公话亭,,
CT_zj_5809901914,800199291,定海人民南路323号公话亭, 其他,定海人民南路323号前电话亭,浙江,舟山市,定海县,定海分公司,122.10271,30.01089,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,48,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910041,华三AC定海76(主),,正常热点,定海人民南路323号公话亭,,
CT_zj_5809902095,800199318,定海昌国路50号公话亭, 其他,定海昌国路50号电话亭,浙江,舟山市,定海县,定海分公司,122.09898,30.02094,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,66,1041,3025,ZS-DH-NZ-1.domain,以太网,周边区域,3,2011/4/28,,CT_zj_5809910046,华三AC定海76(主),,正常热点,定海昌国路50号公话亭,,
CT_zj_5809905681,800199656,定海寿山庙停车场东面电灯杆PHS, 其他,定海寿山庙,浙江,舟山市,定海县,定海分公司,122.100281,30.043393,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,77,1041,3000,ZS-DH-NZ-1.domain,以太网,周边寺庙及附近停车场,2,2012/2/20,,CT_zj_5801310013,华三AC定海76(主),,正常热点,定海寿山庙停车场东面电灯杆PHS,,
CT_zj_5809901852,800116266,定海环城西路25号培蕾制衣厂公话亭, 其他,定海环城西路培蕾制衣厂前电话亭,浙江,舟山市,定海县,定海分公司,122.09631,30.0212,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,23,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,,CT_zj_5809910022,华三AC定海76(主),,正常热点,定海环城西路25号培蕾制衣厂公话亭,,
CT_zj_5809901853,800116267,定海昌国路56号公话亭, 其他,定海昌国路56号电话亭,浙江,舟山市,定海县,定海分公司,122.09939,30.02107,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,65,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910030,华三AC定海76(主),,正常热点,定海昌国路56号公话亭,,
CT_zj_5809901854,800116268,定海环城南路18-16号公话亭, 其他,定海环城南路18-16号前电话亭,浙江,舟山市,定海县,定海分公司,122.08563,30.0132,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,36,1041,3026,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910033,华三AC定海76(主),,正常热点,定海环城南路18-16号公话亭,,
CT_zj_5809901856,800116270,定海环城西路20号公话亭, 其他,定海环城西路20号前电话亭,浙江,舟山市,定海县,定海分公司,122.09734,30.02017,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,24,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910020,华三AC定海76(主),,正常热点,定海环城西路20号公话亭,,
CT_zj_5809901857,800116271,定海环城西路104号公话亭, 其他,定海环城西路104号前电话亭,浙江,舟山市,定海县,定海分公司,122.09915,30.01586,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,22,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,,CT_zj_5809910024,华三AC定海76(主),,正常热点,定海环城西路104号公话亭,,
CT_zj_5809901858,800116272,定海环城西路148号公话亭, 其他,定海环城西路148号前电话亭,浙江,舟山市,定海县,定海分公司,122.09847,30.01222,金州,183.152.192.2-183.152.207.254,光纤,B,工程局SY,顾磊,15305809609,0,否,,,58,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,客户经理：徐昌荣806870,CT_zj_5809910016,华三AC定海76(主),,正常热点,定海环城西路148号公话亭,,
